번호,유형,시스템명,URL,기관명
57,데이터분석플랫폼,부동산 빅데이터 플랫폼,https://www.bigdata-realestate.kr/#section-home,한국부동산원
58,데이터분석플랫폼,중소·중견기업 빅데이터 플랫폼,bigdata-sme.kr,더존비즈온
59,데이터분석플랫폼,통신 빅데이터 플랫폼,https://bdp.kt.co.kr/invoke/SOKBP0000/,케이티(KT)
60,데이터분석플랫폼,KDX한국데이터거래소,kdx.kr/main,매일방송(MBN)
61,데이터분석플랫폼,스마트팜 빅데이터 플랫폼,www.n-farm.kr/home/,네이버클라우드
62,정보공개포털,참가격,price.go.kr,한국소비자원
63,정보공개포털,교육통계서비스,kess.kedi.re.kr/index,교육부
64,정보공개포털,대학알리미,academyinfo.go.kr,교육부
65,정보공개포털,대학재정알리미,uniarlimi.kasfo.or.kr,교육부
66,정보공개포털,유치원 알리미,e-childschoolinfo.moe.go.kr,교육부
67,정보공개포털,지방교육재정알리미,eduinfo.go.kr,교육부
68,정보공개포털,학교알리미,schoolinfo.go.kr,교육부
69,정보공개포털,ICT통계포털,itstat.go.kr,정보통신정책연구원
70,정보공개포털,미디어통계포털,stat.kisdi.re.kr,정보통신정책연구원
71,정보공개포털,성인지통계,gsis.kwdi.re.kr,한국여성정책연구원
72,정보공개포털,국세통계포털,tasis.nts.go.kr,국세청
73,정보공개포털,재정정보공개시스템열린재정,openfiscaldata.go.kr,재정정보원
74,정보공개포털,OAK 국가리포지터리,oak.go.kr,국립중앙도서관
75,정보공개포털,문화셈터,stat.mcst.go.kr,한국문화관광연구원
76,정보공개포털,방송통계포털,mediastat.or.kr,방송통신위원회
77,정보공개포털,보건산업통계포털,khiss.go.kr,한국보건산업진흥원
78,정보공개포털,어린이집정보공개포털,info.childcare.go.kr,한국사회보장정보원
79,정보공개포털,보건복지데이터포털,data.kihasa.re.kr,한국보건사회연구원
80,정보공개포털,오피넷,https://www.opinet.co.kr/user/main/mainView.do,한국석유공사
81,정보공개포털,페트로넷,https://www.petronet.co.kr/v4/main.jsp,한국석유공사
82,정보공개포털,전력통계정보시스템,epsis.kpx.or.kr,한국전력거래소
83,정보공개포털,마이크로데이터 통합서비스,mdis.kostat.go.kr,통계청
84,정보공개포털,해양수산 R&D 지식정보시스템,ofris.kimst.re.kr,해양수산과학기술진흥원
85,정보공개포털,주소정보관리시스템,juso.go.kr,행정안전부
86,정보공개포털,태양관측데이터센터,sdo.kasi.re.kr,한국천문연구원
87,정보공개포털,생활안전지도,safemap.go.kr,행정안전부
88,정보공개포털,주택금융통계시스템,houstat.hf.go.kr,한국주택금융공사
89,정보공개포털,K-MBS 유동화증권 통합공시포털,kmbs.hf.go.kr,한국주택금융공사
90,정보공개포털,한국어 학습자 말뭉치 나눔터,kcorpus.korean.go.kr,국립국어원
91,정보공개포털,EcoBank(생태공간정보),nie-ecobank.kr,국립생태원
92,정보공개포털,환경정보공개시스템,air.incheon.go.kr,인천광역시
93,정보공개포털,무역투자빅데이터,kotra.or.kr/bigdata,대한무역투자진흥공사
94,정보공개포털,국토정보 플랫폼,map.ngii.go.kr,국토교통부
95,정보공개포털,천문우주지식정보,astro.kasi.re.kr,한국천문연구원
96,정보공개포털,NCDC-국가암데이터센터포털,cancerdata.re.kr,국립암센터
97,정보공개포털,건강보험자료공유시스템,nhiss.nhis.or.kr,국민건강보험공단
98,정보공개포털,양양군 스마트 관광 데이터 플랫폼,data.yangyang.go.kr,강원특별자치도 양양군
99,정보공개포털,국토안전 빅데이터 개방 포털,bigtori.kalis.or.kr,국토안전관리원
100,정보공개포털,식품안전나라,foodsafetykorea.go.kr/apiMain.do,식품의약품안전처
101,정보공개포털,기후서비스 플랫폼,cliks.apcc21.org,APEC기후센터
102,정보공개포털,의약품안전나라 포털,nedrug.mfds.go.kr,식품의약품안전처
103,정보공개포털,비즈패스파인더,bigdata.kosmes.or.kr,중소벤처기업진흥공단
104,개방전용포털,푸드QR 실시간식품정보확인서비스,portal.foodqr.kr/dvlpr/mainView.do,식품안전정보원
105,개방전용포털,울산항 공공데이터 포털,upa.or.kr/data,울산광역시
106,개방전용포털,충청남도 데이터포털 올담,alldam.chungnam.go.kr/,충청남도
107,데이터분석플랫폼,광주광역시 빅데이터 통합플랫폼,bigdata.gwangju.go.kr,광주광역시
108,데이터분석플랫폼,세종특별자치시 빅데이터 개방형 플랫폼,sejong.go.kr/bigdata/,세종특별자치시
109,개방전용포털,전주시 데이터 포털,jeonju.go.kr/data/main/main.do,전북특별자치도 전주시
110,개방전용포털,거제시 데이터포털,data.geoje.go.kr/index.geoje,경상남도 거제시
111,개방전용포털,수원시 데이터 포털,data.suwon.go.kr/portal/main/,경기도 수원시
112,데이터분석플랫폼,부천시 빅데이터 포털,insight.bucheon.go.kr,경기도 부천시
113,데이터분석플랫폼,용산구 빅데이터 플랫폼,bigdata.yongsan.go.kr/usr/index.do,서울특별시 용산구
